Identifier_1,sample,time,temperature,material,genus,species,sample_wt_initial,sample_wt_final,amount,d13C_corrected,d15N_corrected,N_wt_percent,C_wt_percent,C/N,notes
16344,deer.080.2,80,5,bone,Odocoileus,hemionus,2.955,0.528,0.546,-26.23,4.21,15.22,44.59,2.93,
16348,deer.080.3,80,5,bone,Odocoileus,hemionus,3.008,0.557,0.569,-26.29,4.22,15.16,44.76,2.95,
16349,deer.090.1,90,5,bone,Odocoileus,hemionus,3.074,0.559,0.571,-26.22,4.2,15.28,44.77,2.93,
16350,deer.090.2,90,5,bone,Odocoileus,hemionus,2.915,0.5,0.489,-26.18,4.18,15.19,44.43,2.92,
16351,deer.090.3,90,5,bone,Odocoileus,hemionus,3.079,0.542,0.551,-26.17,4.22,15.22,44.69,2.94,
16352,deer.100.1,100,5,bone,Odocoileus,hemionus,3.201,0.637,0.574,-26.24,4.21,15.13,44.62,2.95,
16353,deer.100.2,100,5,bone,Odocoileus,hemionus,2.987,0.524,0.502,-26.17,4.23,15.04,44.46,2.96,
16354,deer.100.3,100,5,bone,Odocoileus,hemionus,3.13,0.542,0.541,-26.14,4.24,15.21,44.57,2.93,
17620,deer.1080.1,1080,5,bone,Odocoileus,hemionus,4.107,0.674,0.682,-26.32,3.95,15.1,44.43,2.94,
17621,deer.1080.2,1080,5,bone,Odocoileus,hemionus,3.854,0.416,0.413,-26.36,4.07,15.12,44.36,2.93,
17622,deer.1080.3,1080,5,bone,Odocoileus,hemionus,3.19,0.428,0.424,-26.36,4.07,15.05,44.03,2.93,
16355,deer.110.1,110,5,bone,Odocoileus,hemionus,3.151,0.613,0.608,-26.21,4.22,15.04,44.13,2.94,
16356,deer.110.2,110,5,bone,Odocoileus,hemionus,3.132,0.6,0.61,-26.12,4.19,14.97,43.96,2.94,
16357,deer.110.3,110,5,bone,Odocoileus,hemionus,3.192,0.656,0.655,-26.14,4.21,14.46,42.5,2.94,
16358,deer.120.1,120,5,bone,Odocoileus,hemionus,2.925,0.521,0.496,-26.13,4.21,15.02,44.17,2.94,
16359,deer.120.2,120,5,bone,Odocoileus,hemionus,3.063,0.539,0.553,-26.16,4.22,15.09,44.34,2.94,
16360,deer.120.3,120,5,bone,Odocoileus,hemionus,3.039,0.541,0.538,-26.08,4.22,15.2,44.43,2.92,
17626,deer.1440.1,1440,5,bone,Odocoileus,hemionus,3.205,0.547,0.582,-26.48,4.01,15.07,44.63,2.96,
17627,deer.1440.2,1440,5,bone,Odocoileus,hemionus,3.057,0.534,0.57,-26.39,4.02,15.02,44.48,2.96,
17628,deer.1440.3,1440,5,bone,Odocoileus,hemionus,3.287,0.71,0.686,-26.4,4.03,11.48,34.54,3.01,
17623,deerRT.1080.1,1080,25,bone,Odocoileus,hemionus,2.993,0.467,0.451,-26.31,4.03,15.09,44.11,2.92,
17624,deerRT.1080.2,1080,25,bone,Odocoileus,hemionus,2.917,0.429,0.408,-26.3,4.07,15.22,44.37,2.92,
17625,deerRT.1080.3,1080,25,bone,Odocoileus,hemionus,2.909,0.477,0.481,-26.33,4.07,15.06,44.17,2.93,
17629,deerRT.1440.1,1440,25,bone,Odocoileus,hemionus,3.108,0.536,0.54,-26.34,4.02,15.18,44.55,2.93,
17633,deerRT.1440.2,1440,25,bone,Odocoileus,hemionus,3.122,0.533,0.561,-26.27,4,15.08,44.47,2.95,
17634,deerRT.1440.3,1440,25,bone,Odocoileus,hemionus,3.134,0.539,0.562,-26.27,3.99,15.09,44.19,2.93,
5068,goat.000.1,0,5,dentine,Capra,hircus,1,1,2.495,-22.15,3.86,2.58,8.46,3.29,
5072,goat.000.2,0,5,dentine,Capra,hircus,1,1,2.521,-22.15,3.96,2.59,8.56,3.31,
5073,goat.000.3,0,5,dentine,Capra,hircus,1,1,2.479,-22.18,3.65,2.57,8.39,3.26,
5002,goat.005.1,5,5,dentine,Capra,hircus,2.546,0.28,0.28,-23.16,4.01,11.19,29.75,2.66,
5003,goat.005.2,5,5,dentine,Capra,hircus,2.521,0.23,0.23,-23.12,4.09,13.38,34.55,2.58,
