Identifier_1,sample,amount,Area 28,Area 44,d13C_corrected,d15N_corrected,N_wt_percent,C_wt_percent,C/N
16310,deer.025.1,0.696,312.644,184.416,-26.429687032192337,4.1206711192450856,12.821425452394047,38.292666677464624,2.9866153977687815
16311,deer.025.2,0.519,268.003,155.393,-26.413193989012452,4.078313908114504,14.75718947295702,43.48337098105343,2.9465889193018753
16312,deer.025.3,0.619,310.557,180.724,-26.412422308154362,4.097406411251656,14.320815846470614,42.21679268160924,2.947932096481335
16313,deer.030.1,0.495,262.875,152.185,-26.366070363798773,4.0898857274950915,15.179190322140204,44.679741098736635,2.9434864541863766
16314,deer.030.2,0.591,287.576,166.903,-26.371239445063132,4.080474981088694,13.897642802880942,40.92629728262829,2.9448373269562222
16315,deer.030.3,0.609,304.751,178.962,-26.262314835104412,4.202408418964303,14.285869234167347,42.50289596308195,2.9751704475516454
16316,deer.035.1,0.538,278.397,161.902,-26.376499508337947,4.1321227373974905,14.783374142938522,43.65009472155062,2.952647636426132
16317,deer.035.2,0.694,271.189,159.991,-26.390234111269535,4.118243883951071,11.166058175836852,33.45079847418555,2.9957571371580767
16318,deer.035.3,0.637,294.331,172.439,-26.373207762086174,4.114186085175535,13.194480064871858,39.193739843677655,2.97046489524241
16322,deer.040.1,0.498,263.928,152.022,-26.333717801042823,4.137471876432646,15.14765443436945,44.36453034758562,2.928805283999891
16323,deer.040.2,0.537,285.686,165.674,-26.37943294094204,4.128669768568361,15.195458150391145,44.71975623496246,2.942968602352495
16324,deer.040.3,0.543,275.642,159.928,-26.33290418546414,4.114371318597081,14.50350456008839,42.73662874914264,2.9466415218531283
16325,deer.045.1,0.535,281.462,162.781,-26.340123796996547,4.138042419685863,15.028579920668333,44.12604683062488,2.9361421414101616
16326,deer.045.2,0.919,285.763,171.234,-26.320776941733754,4.130838361455781,8.881547905502682,26.982433867985417,3.0380328018349245
16327,deer.045.3,0.637,307.345,178.987,-26.342645308198165,4.156280273516258,13.773289421587002,40.64015917054329,2.9506501988441194
16328,deer.050.1,0.482,255.735,147.709,-26.311039987552764,4.12039484607254,15.168910399697227,44.57812004675967,2.938781947558307
16329,deer.050.2,0.454,241.186,139.802,-26.333463896179076,4.141235691679712,15.196530705348387,44.87678382124797,2.95309401148077
16330,deer.050.3,0.538,283.135,165.098,-26.312447234753524,4.144355609926782,15.032877821898799,44.48598538183853,2.9592461209945173
16331,deer.055.1,0.566,301.082,174.299,-26.3228127610667,4.2077752133871975,15.187539543378204,44.57267294927391,2.9348185610952155
16335,deer.055.2,0.551,293.003,169.702,-26.290727733144966,4.1701022382198065,15.185589903382029,44.61213974115383,2.9377943184952025
16336,deer.055.3,0.547,292.114,169.336,-26.30909048949504,4.1911363940373185,15.250591674919331,44.84422145453581,2.940490599344108
16337,deer.060.1,0.539,281.301,163.441,-26.321508122829496,4.1780030866134314,14.908588019902844,43.97087877092846,2.9493657422304307
16338,deer.060.2,0.493,261.155,150.797,-26.270323701155224,4.170824352558862,15.141926237076762,44.46484048125402,2.936537913675521
16339,deer.060.3,0.435,229.158,131.75,-26.263698344379556,4.1590537649589,15.076914694115876,44.23232849761794,2.933778521336375
16340,deer.070.1,0.538,287.146,166.636,-26.272176991161366,4.176966592831777,15.244097588954453,44.888238146395096,2.944630725725618
16341,deer.070.2,0.509,271.031,155.947,-26.303304640976,4.167948105654086,15.21565432739663,44.49081116268678,2.9240156358296474
16342,deer.070.3,0.5,264.989,153.123,-26.308774119621607,4.192060160677745,15.147182512713336,44.496915656691904,2.9376364627114477
16343,deer.080.1,0.476,253.818,146.494,-26.265104853778443,4.172964251734834,15.246016810746116,44.78086387971938,2.937217270294212
16344,deer.080.2,0.546,291.016,168.032,-26.234447175279236,4.2092621275125035,15.221549534182696,44.590299064862826,2.929419174094423
16348,deer.080.3,0.569,302.054,176.018,-26.287844404401977,4.21592869972497,15.15586161233687,44.76276518011119,2.953495243297438
16349,deer.090.1,0.571,305.577,176.695,-26.221071282437634,4.200836686673623,15.2775759927597,44.77280921315312,2.930622582690585
16350,deer.090.2,0.489,259.892,149.417,-26.175559400820887,4.176805301313901,15.192612259590488,44.43146533881382,2.9245441520937927
16351,deer.090.3,0.551,293.655,170.017,-26.171132655286154,4.224880737285648,15.21911423823465,44.69258193988625,2.936608612057465
16352,deer.100.1,0.574,304.138,177.008,-26.239344127823408,4.210361547442963,15.126702734976636,44.61553361010882,2.949455303762055
16353,deer.100.2,0.502,264.208,153.635,-26.174945678698737,4.228402557172656,15.042758226612218,44.463150101168495,2.955784400131388
16354,deer.100.3,0.541,288.059,166.351,-26.13941674889118,4.236271409097344,15.207376785568222,44.56519366248061,2.9304984213170093
16355,deer.110.1,0.608,320.332,185.707,-26.211190126811243,4.222276386280772,15.035397994707475,44.13380365735098,2.9353265987961388
16356,deer.110.2,0.61,319.983,185.594,-26.115758080287513,4.190881326442973,14.96989247561635,43.96303671005039,2.9367636929696994
16357,deer.110.3,0.655,332.067,192.832,-26.139125420989462,4.206214231074249,14.464103820919702,42.49757466814243,2.9381408758057583
16358,deer.120.1,0.496,260.578,150.689,-26.125864988653337,4.211665898522845,15.017384198540215,44.16526144504719,2.9409423679351785
16359,deer.120.2,0.553,292.113,169.25,-26.157831280671463,4.217945630992016,15.085072902410241,44.33578313783209,2.9390499750749144
16360,deer.120.3,0.538,286.334,164.884,-26.083641376463284,4.216850632366709,15.20133756630444,44.43001523124352,2.922770120553595
16347,Mb squid,0.327,133.975,97.314,-18.681935175718483,11.843046637660091,11.809829451739304,44.02315954835513,3.7276710665683304
16321,Mb squid,0.411,169.208,123.05,-18.782355891857176,11.99490851156245,11.824831067211356,43.83670524328978,3.7071739117561675
16308,Mb squid,0.588,241.374,177.493,-18.923692696633292,11.89707192494416,11.742434006895266,43.66932082400406,3.7189326163860943
16294,Mb squid,0.532,222.424,161.694,-18.663001777006063,11.944120185182014,11.969315678999848,44.087374584967534,3.6833663483634895
16361,USGS 40,0.566,186.551,157.936,-26.279552349827277,-4.436435569850779,9.454686693631018,40.50476162771884,4.284093480855812
16345,USGS 40,0.683,225.143,192.26,-26.432424389512867,-4.443994218305511,9.435883356767814,40.63751871875057,4.306699985815703
16332,USGS 40,0.482,158.753,134.514,-26.446235272566284,-4.519212832456167,9.468471817757065,40.72611068389919,4.301233764832241
16319,USGS 40,0.514,169.766,144.129,-26.538544669057966,-4.551078790088836,9.48602013465863,40.82278608068636,4.3034682091316725
16306,USGS 40,0.834,276.929,236.458,-26.537737547370774,-4.5042309831856215,9.486648877241462,40.736841817257115,4.294123493385013
16293,USGS 40,1.101,367.39,315.112,-26.341961909103308,-4.549509173390291,9.51383210166085,40.91001888331084,4.30005684840382
16292,USGS 40,1.281,429.556,368.219,-26.295214414075776,-4.556051081173979,9.551883911974723,40.99501718476112,4.291825315566042
16291,USGS 40,0.29,96.085,79.926,-26.306417201065205,-4.526046536232153,9.614989767399589,41.203129687675606,4.285301459953519
16290,USGS 40,0.238,78.607,65.287,-26.260617816031825,-4.602642517773257,9.63519003190327,41.5506464270749,4.312384736522655
16288,USGS 40,0.524,173.98,146.773,-26.459096849048183,-4.508120596735667,9.532827875833783,40.7537200344969,4.2750924033580535
16362,USGS 41a,0.421,139.075,117.702,36.39233446922877,47.464054650136354,9.51615934817033,41.00800178028247,4.3093017130032685
16346,USGS 41a,0.538,178.799,152.238,36.61480413040367,47.65547098429554,9.538530872131044,41.1225454909429,4.311203270420986
16333,USGS 41a,0.31,103.483,87.007,36.60002653334262,47.30843737374175,9.67077698560743,41.75895210703251,4.318055536714416
16320,USGS 41a,0.672,224.503,191.306,36.58777462425101,47.74278875836229,9.563357735036856,41.102958244581934,4.297963056845068
16307,USGS 41a,0.479,159.161,134.745,36.50410707463912,47.53253513528991,9.551905061686396,41.04903833139991,4.297471349045494
16289,USGS 41a,0.502,168.139,141.712,36.59875558579445,47.59403539736653,9.620955321512133,41.12114733854838,4.274123095302488
