wavenumber,absorbance,file_name,time_min
1840,0.4452406926047553,shark.000.3,0
1841,0.4458194780781791,shark.000.3,0
1842,0.44647924747645445,shark.000.3,0
1843,0.4472334825798503,shark.000.3,0
1844,0.44808503188215054,shark.000.3,0
1845,0.44902662913465424,shark.000.3,0
1846,0.45004299371376755,shark.000.3,0
1847,0.451113871770007,shark.000.3,0
1848,0.45221728559967994,shark.000.3,0
1849,0.45333237321206465,shark.000.3,0
1850,0.45444145559770455,shark.000.3,0
1851,0.45553126162241075,shark.000.3,0
1852,0.45659346693015,shark.000.3,0
1853,0.4576247992929608,shark.000.3,0
1854,0.45862692204034095,shark.000.3,0
1855,0.4596061766269256,shark.000.3,0
1856,0.46057312093284586,shark.000.3,0
1857,0.46154171280464595,shark.000.3,0
1858,0.4625279975755998,shark.000.3,0
1859,0.4635482591011683,shark.000.3,0
1860,0.4646167455267254,shark.000.3,0
1861,0.4657432280879854,shark.000.3,0
1862,0.46693074694566605,shark.000.3,0
1863,0.4681739194686241,shark.000.3,0
1864,0.46945813605902603,shark.000.3,0
1865,0.4707598648180863,shark.000.3,0
1866,0.4720481498001149,shark.000.3,0
1867,0.4732872332968576,shark.000.3,0
1868,0.47444007088521944,shark.000.3,0
1869,0.4754723523729996,shark.000.3,0
1870,0.47635651617233477,shark.000.3,0
1871,0.4770751825854508,shark.000.3,0
1872,0.47762346537148237,shark.000.3,0
1873,0.47800976545156326,shark.000.3,0
1874,0.4782548896122548,shark.000.3,0
1875,0.4783896223329981,shark.000.3,0
1876,0.47845114279665757,shark.000.3,0
1877,0.4784788570730421,shark.000.3,0
1878,0.4785102678248333,shark.000.3,0
1879,0.47857742894217525,shark.000.3,0
1880,0.47870436492722984,shark.000.3,0
1881,0.4789056315066701,shark.000.3,0
1882,0.4791860131818909,shark.000.3,0
1883,0.47954123530641585,shark.000.3,0
1884,0.4799595223936395,shark.000.3,0
1885,0.48042383877807787,shark.000.3,0
1886,0.48091465975834996,shark.000.3,0
1887,0.4814130970635664,shark.000.3,0
1888,0.481904119174685,shark.000.3,0
1889,0.4823794793021656,shark.000.3,0
1890,0.4828398451562522,shark.000.3,0
1891,0.4832955902215901,shark.000.3,0
1892,0.48376582094981513,shark.000.3,0
1893,0.48427549824478305,shark.000.3,0
1894,0.48485091951256676,shark.000.3,0
1895,0.4855142541252313,shark.000.3,0
1896,0.4862781384165281,shark.000.3,0
1897,0.48714142654590425,shark.000.3,0
1898,0.4880870172020094,shark.000.3,0
1899,0.4890822748409084,shark.000.3,0
1900,0.4900820497088264,shark.000.3,0
1901,0.4910338124188774,shark.000.3,0
1902,0.49188407202639484,shark.000.3,0
1903,0.4925850972664487,shark.000.3,0
1904,0.4931009977958001,shark.000.3,0
1905,0.49341238964551726,shark.000.3,0
1906,0.49351910150801237,shark.000.3,0
1907,0.49344063236016433,shark.000.3,0
1908,0.4932143331387213,shark.000.3,0
1909,0.4928915581433166,shark.000.3,0
1910,0.49253230641338724,shark.000.3,0
1911,0.4921991088258554,shark.000.3,0
1912,0.49195104372106013,shark.000.3,0
1913,0.49183871320213557,shark.000.3,0
1914,0.49190075677279665,shark.000.3,0
1915,0.492162066439328,shark.000.3,0
1916,0.4926334221184539,shark.000.3,0
1917,0.4933119513563171,shark.000.3,0
1918,0.4941817690095251,shark.000.3,0
1919,0.4952144126411985,shark.000.3,0
1920,0.49636917044831813,shark.000.3,0
1921,0.4975939015688168,shark.000.3,0
1922,0.4988272340000447,shark.000.3,0
1923,0.500002911478534,shark.000.3,0
1924,0.5010565097092247,shark.000.3,0
1925,0.5019338945183519,shark.000.3,0
1926,0.5025999315983906,shark.000.3,0
1927,0.5030454056525089,shark.000.3,0
1928,0.5032901149856109,shark.000.3,0
1929,0.5033807498502987,shark.000.3,0
1930,0.5033833022553712,shark.000.3,0
1931,0.5033710845177585,shark.000.3,0
1932,0.5034105774391228,shark.000.3,0
1933,0.5035479635508842,shark.000.3,0
1934,0.5037991552635241,shark.000.3,0
1935,0.5041454253829815,shark.000.3,0
1936,0.5045355833976373,shark.000.3,0
1937,0.5048943091189927,shark.000.3,0
1938,0.5051350571058233,shark.000.3,0
1939,0.5051751131603135,shark.000.3,0
1940,0.504950041437372,shark.000.3,0
1941,0.5044249222795606,shark.000.3,0
1942,0.5036003810784992,shark.000.3,0
1943,0.5025123349365803,shark.000.3,0
1944,0.5012255000511588,shark.000.3,0
1945,0.4998218528367644,shark.000.3,0
1946,0.498386243704082,shark.000.3,0
1947,0.4969920291036395,shark.000.3,0
1948,0.4956897320170318,shark.000.3,0
1949,0.49450124675249824,shark.000.3,0
1950,0.49342098271360224,shark.000.3,0
1951,0.49331351760364905,shark.000.3,0
1952,0.4932508554980003,shark.000.3,0
1953,0.49318091494702426,shark.000.3,0
1954,0.49306515495619774,shark.000.3,0
1955,0.4928873128496776,shark.000.3,0
1956,0.4926564297806615,shark.000.3,0
1957,0.49239689348286575,shark.000.3,0
1958,0.4921418814779984,shark.000.3,0
1959,0.49192559186171736,shark.000.3,0
1960,0.4917692191033708,shark.000.3,0
1961,0.49168409140380476,shark.000.3,0
1962,0.49166232102584456,shark.000.3,0
1963,0.4916934212048225,shark.000.3,0
1964,0.4917597251649053,shark.000.3,0
1965,0.49185517118042515,shark.000.3,0
1966,0.49197788511123963,shark.000.3,0
1967,0.49213986923809294,shark.000.3,0
1968,0.4923530517217105,shark.000.3,0
1969,0.4926295267979771,shark.000.3,0
1970,0.49296882395959307,shark.000.3,0
1971,0.49335607879040627,shark.000.3,0
1972,0.49376282088658374,shark.000.3,0
1973,0.49414652597766406,shark.000.3,0
