sample,time,temperature,aliquot,vial_name,sample_wt_initial,sample_wt_final,notes
Prionace,90,5,1,shark.090.1,4.054,0.783,
Prionace,90,5,2,shark.090.2,4.103,0.926,
Prionace,90,5,3,shark.090.3,4.014,0.88,
Prionace,100,5,1,shark.100.1,3.989,0.774,
Prionace,100,5,2,shark.100.2,4.006,0.909,
Prionace,100,5,3,shark.100.3,3.956,0.907,
Prionace,1080,5,1,shark.1080.1,4.139,0.645,
Prionace,1080,5,2,shark.1080.2,4.028,0.599,
Prionace,1080,5,3,shark.1080.3,4.006,0.58,
Prionace,110,5,1,shark.110.1,4.014,0.765,
Prionace,110,5,2,shark.110.2,4.003,0.781,
Prionace,110,5,3,shark.110.3,4.13,0.775,
Prionace,120,5,1,shark.120.1,4.005,0.739,
Prionace,120,5,2,shark.120.2,3.951,0.743,
Prionace,120,5,3,shark.120.3,4.028,0.904,
Prionace,1440,5,1,shark.1440.1,3.971,0.472,
Prionace,1440,5,2,shark.1440.2,4.111,0.491,
Prionace,1440,5,3,shark.1440.3,3.996,0.464,
